AARS,AASS,AATK,ABCA10,ABCA2,ABCA6,ABCA8,ABCC1,ABCC6,ABCD1,ABCE1,ABCG5,ABHD1,ABHD10,ABHD3,ABHD6,ABR,ABRA,ABTB1,ACADM,ACBD5,ACCN2,ACE2,ACLY,ACO2,ACOT12,ACP5,ACR,ACSBG2,ACSL3,ACSM1,ACTG2,ACTL7A,ACTL8,ACTN4,ACTR3,ACTR6,ACVR1C,ACY1L2,ACYP1,ADAM12,ADAM17,ADAM20,ADAM28,ADAM32,ADAM3A,ADAMTS10,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS20,ADAMTS5,ADAMTS7,ADAMTSL4,ADAT1,ADCY8,ADH4,ADIPOR1,ADK,ADMR,ADORA3,ADPN,ADPRHL2,Label
0.915343,0.292593,0.277391,0.274029,-0.116867,-0.36767,-1.096927,0.309927,-0.909104,-0.072271,-0.524816,-0.116015,-0.683309,0.835692,-2.853689,-0.410308,0.303019,0.566334,0.655546,-1.746153,-0.294456,1.399694,0.045324,0.624491,0.517239,0.62091,-0.328283,0.814477,0.167186,-0.164108,0.187082,1.886453,0.559489,0.383389,0.350236,-0.594948,0.397163,0.572953,-1.475499,-0.109815,0.450467,-0.046185,0.567094,-0.075185,-0.215621,-0.522091,0.37429,0.858381,-0.190353,0.441656,0.424334,1.17759,1.566015,0.067914,1.328402,-1.118332,-0.152721,-0.531695,0.205664,0.469447,-0.629747,0.437741,-0.267484,0
-0.402546,0.653775,-0.511711,-0.013584,-0.520359,-0.042802,0.159985,0.298889,-0.82674,-0.499297,1.043305,-0.893189,0.286385,0.967466,-0.66239,0.881464,0.466817,0.723054,-0.440039,0.773765,1.033046,0.060171,-0.882572,0.013397,1.242,0.641829,0.136794,-0.599536,-0.196739,1.05004,0.116995,-0.363532,-0.380448,0.817806,-0.689572,0.871743,0.336161,0.377054,-0.776589,0.507204,-0.19265,-0.009643,-0.283384,0.068652,0.510878,-0.065654,-0.747647,0.309055,-0.351079,0.321712,-0.706063,0.597998,0.669943,-0.295599,1.229143,-0.866221,-0.195472,0.822547,-0.052711,-1.050585,-0.266861,0.276186,-0.842181,0
1.934752,-2.387154,0.019359,1.127639,-0.120332,-0.955315,-2.37267,1.082004,-1.447863,-0.251705,-0.318338,-0.144597,-1.671942,0.014123,-1.46971,-0.219264,2.215508,-0.087489,1.650843,-1.094086,-1.523929,2.145545,0.046069,0.769824,0.301055,0.438564,0.175011,1.110082,0.700255,-0.045201,-0.546702,0.681345,0.066327,-0.724602,0.843757,-0.413688,-0.268782,0.583055,-1.380598,1.031766,0.02115,-1.246626,0.914873,-1.117002,-0.126887,-0.281084,0.812565,-0.179876,-0.729085,-1.169811,0.380169,0.598878,0.281679,0.750348,0.168365,-0.550506,-0.355743,-0.751941,-1.112421,0.046639,-0.948285,1.485263,-0.913122,0
1.213479,-1.69974,0.39831,1.186588,-0.268631,-0.964081,-2.59829,0.004621,0.094429,0.960199,-0.007333,-0.827845,-1.446552,-0.794172,-0.637324,-1.561331,2.981202,-1.524551,2.131779,-1.2355,-2.194551,1.897765,1.037552,0.379479,-0.859012,-1.708406,-1.206545,3.102178,0.562145,-0.05604,0.743825,-0.458869,-0.038221,1.472672,0.456459,-0.706073,1.075424,0.220754,-1.217127,0.426993,0.866622,1.02778,1.859114,-0.583791,-1.076352,-0.374826,1.895797,-2.273008,-2.37421,-1.692787,2.792072,0.010564,-0.839235,0.209634,-1.282162,-0.786786,-0.641058,-1.614763,2.132961,1.527089,-0.910208,-2.307639,0.833897,0
1.112125,-0.586522,0.03877,0.805198,-0.400154,-0.054931,-0.018866,0.858024,-0.600663,-0.706317,1.133594,-0.874526,0.105519,0.769602,-0.421144,0.778389,0.24863,0.530215,0.445925,-0.058402,0.247089,-0.015636,-0.610283,1.000301,0.434295,0.094759,-0.031327,0.016642,-0.512106,0.471449,-0.011189,-0.168708,0.0331,0.172154,-0.527182,-0.140981,0.824766,0.789815,-0.304621,1.000034,-0.704408,-0.17805,0.092269,-0.34368,0.141726,-0.703904,0.119824,0.319312,-0.467311,-0.006866,-0.906979,0.342807,0.211153,-0.23209,0.911275,-0.350701,-0.248468,-0.155757,-0.30966,-0.77472,-0.813429,0.229511,0.62784,0
0.125218,-0.794159,-1.401422,-0.241967,-1.298521,0.041654,-0.572537,0.520399,-1.579412,-0.418056,1.165198,-0.011137,-1.966544,1.431049,-1.293669,1.227114,-0.380646,0.012408,-0.177271,0.427766,0.838993,-0.60148,-1.053286,1.253986,0.176919,0.919872,-0.008539,-0.599892,-0.67656,1.546592,0.00271,0.053605,-0.250698,0.156709,-0.685142,1.255184,1.537171,1.293248,-1.47553,1.177806,-1.190819,0.518552,-0.280698,0.585012,1.050315,-0.644698,-1.065591,-0.012312,-0.82154,0.798332,-0.529282,1.528047,0.136126,-0.305206,1.288431,-1.094983,-0.38311,0.930817,-0.634067,-1.159746,-0.344577,0.21647,-0.831502,0
1.221298,-0.849053,0.496606,-0.484613,-0.395558,-0.130368,0.341892,0.512556,-0.8787,-0.444457,0.257161,-1.441069,-0.29539,0.479966,-0.820031,1.231499,0.050383,0.857824,0.104754,0.331359,-0.029907,0.562744,0.265172,1.072845,-0.023802,0.664948,-0.308538,0.278491,-0.028309,0.055089,-0.302598,0.394743,-0.97159,0.549636,-0.452507,0.908943,0.800336,1.022796,-0.965569,1.347858,-0.573562,1.61074,0.169556,0.043479,0.011523,-1.353423,-0.335674,0.030365,-0.680516,0.23245,-0.967568,0.426368,0.292014,-0.251208,1.439579,-0.881931,-0.603987,1.007364,-0.014889,-0.805849,-0.98482,0.105145,-0.357594,0
1.419724,-0.415335,0.144271,0.464592,-0.064567,-1.12655,0.568427,0.462354,-1.345235,-0.517784,0.666735,-0.821415,0.521286,0.716908,-0.001058,0.641539,-0.103308,-0.349762,0.353849,1.220064,0.203951,0.346016,-1.166555,0.894925,0.121901,0.015033,-0.175079,-0.432862,-0.954396,0.651849,-0.151639,-0.910069,-1.237507,-0.907721,-0.846619,0.70726,1.399447,0.755272,-0.116553,1.763504,-1.306523,0.303496,0.303241,0.051504,0.024172,-0.664545,-1.105509,-0.228322,-0.48781,0.75385,-0.883387,0.390442,-0.176806,-0.297091,1.63131,-0.87138,-0.665025,0.81107,-0.419036,-1.302023,-0.588569,-0.241937,-0.200636,0
1.100268,-1.201078,-1.204283,-1.090085,-1.363238,-1.096636,-0.980265,0.65422,-0.76366,-0.69058,1.387438,-0.746402,0.081846,0.882866,0.838169,0.934612,0.49392,0.874084,-0.208562,0.565001,0.576795,0.452523,-0.649814,0.839525,0.776525,1.459505,0.033713,-0.684401,-1.437923,0.71053,-0.214724,0.572297,-2.004259,-0.295055,-0.953583,1.083983,0.795645,0.806587,0.360569,1.422774,-1.570292,-0.513459,0.041464,0.165393,0.162392,-0.769129,-0.182187,0.066626,-0.707306,0.700574,-1.298901,0.343143,-0.433507,-0.16678,0.08932,0.349634,-0.804204,1.593512,-0.85145,-1.518495,-1.928269,0.524601,-0.091101,0
-0.296635,1.524451,-1.14275,-0.762261,-0.637821,-1.920622,-0.497961,0.198223,0.404497,-0.254744,1.052992,-0.78816,0.682613,-1.348745,3.174435,-0.415737,-0.620008,-0.854015,-2.560331,0.242017,-0.138842,-1.578402,0.986262,0.632312,1.112764,-0.447399,-0.246246,0.276667,-0.351153,0.69012,-0.060095,0.490614,-2.192003,0.421579,-0.613456,0.416216,-1.141945,-1.114009,0.254777,-1.627787,0.568984,1.736967,0.363028,0.150511,-0.601396,-0.768572,0.032223,2.085188,-0.248286,-0.046774,0.300435,-0.478828,0.36638,-0.038517,0.812538,-0.760177,-0.130101,-0.155103,0.207566,-0.117777,1.344126,-0.307646,1.062717,0
